texto,sentimiento
- Isdin abrirá un centro logístico de 22.000 metros en Martorelles- Bunzl acelera en Espańa a través de comprasEl firma de productos coreanos sube un 33% los ingresos y estudia la opción de franquiciar sus establecimientos para acelerar su desembarco en nuevos países europeos y en América Latina.,positivo
MiiN Cosmetics dispara los ingresos y pisa el acelerador en Europa.,positivo
"La subida del volumen de negocio coincidió con la apertura de 12 tiendas en Espańa, Italia, Francia, Alemania y Portugal, país donde desembarcó el ańo pasado con su primer establecimiento.",positivo
"La compańía barcelonesa entró el ańo pasado en Grecia, tras firmar acuerdos para vender sus productos en el canal B2B. Las tiendas propias generan entre el 55% y el 60% de los ingresos, las ventas digitales entre el 25% y el 30% y el resto corresponde al B2B, según explica Lilin Yang, cofundadora y CEO de la empresa.",neutral
"MiiN también abrió en 2025 un centro logístico de 4.600 metros cuadrados en la Zona Franca de Barcelona, donde ha incorporado sistemas de robotización y que servirá para impulsar su crecimiento ""en los próximos cinco o diez ańos"".",positivo
"La empresa cerró el ańo con un ebitda positivo, aunque no proporciona cifras específicas de su rentabilidad.",positivo
La compańía participada por Barlon Capital prevé acelerar este ańo su expansión por Europa con la apertura de 28 puntos de venta.,positivo
"A más largo plazo, la distribuidora estudia la posibilidad de firmar acuerdos para operar con régimen de franquicia con el objetivo de ""agilizar su expansión"" en mercados en los que no tiene presencia.",positivo
"""Esta transición ha permitido incrementar de la capacidad de fabricación de puentes flotantes y sentar las bases para la fabricación de vehículos acorazados en los próximos meses.",positivo
"La compańía argumenta que en Espańa existe un ""gran potencial"" de la industria del automóvil, que ""atraviesa niveles de producción no vistos en una década y afronta riesgos de deslocalización"".",positivo
"""La reconversión de las plantas industriales del sector del automóvil precisa ir de la mano de una empresa que disponga de producto maduro y probado y larga experiencia en producción y gestión de programas de vehículos de combate"", ha ańadido la compańía.",neutral
"Contactos entre Indra y SeatCabe recordar que a mediados de este mes se dio a conocer que Indra ha iniciado contactos preliminares con la firma automovilística Seat, abanderada de la industria espańola del automóvil, para una posible alianza estratégica entre las dos firmas.",neutral
"En el caso de Indra buscaría aprovechar la capacidad de producción, la alta tecnología y los procesos industriales que la filial espańola de Volkswagen tiene en su planta de Martorell (Barcelona).",positivo
"En el caso de Seat, la enseńa que dirige Markus Haupt se adentraría en un negocio que está en auge en estos momentos, ante la fuerte tensión geopolítica y que le aportaría no solo volumen adicional de producción en estos momentos de incertidumbre en el sector automovilístico, sino que le permitiría aumentar sus márgenes, ya que la Defensa tiene una mayor rentabilidad que el automóvil.",positivo
"A ello se suma la adjudicación del sistema artillería de cadenas por 4.554 millones de euros, un contrato que contó con un préstamo público sin intereses de 1.821 millones de euros.",positivo
"- Trump afirma que está pensando ""seriamente"" en retirar a EEUU de la OTAN- Por qué el petróleo baja hoy de golpe un 16%El presidente estadounidense habría asegurado previamente que EEUU podría retirarse de Irán ""con o sin acuerdo"".",neutral
"Ryanair alerta de escasez en el fuel de aerolíneas a partir de mayo si se prolonga la guerraLa 'low cost' irlandesa critica el nuevo contrato de Aena sobre el aeropuerto de Río-Galeão: ""Los españoles pagan tasas más altas para financiar las inversiones de Aena en el extranjero"".",negativo
"Emiratos llama a una acción global para proteger estrecho de Ormuz ante ""extorsión"" iraní",neutral
"El ministro de Industria y Tecnología emiratí, Sultán al Yaber, llamó este miércoles a una acción conjunta global para abrir el estrecho de Ormuz y proteger el libre flujo de la energía ante la ""extorsión económica global"" de Irán por las restricciones en el paso marítimo.",neutral
El Ibex alcanza en su rally los 17.600 puntosEl Ibex amplía su subida por encima del 3% y alcanza máximos intradía por encima del nivel de los 17.600 puntos.,positivo
"Vídeo | Backwardation: el término que explica hoy la caída del petróleoMacron pide ""un alto el fuego"" y libre tránsito en Ormuz tras su reunión con TakaichiEl presidente francés, Emmanuel Macron, ha pedido ""el retorno a la paz, un alto el fuego y la calma y el libre tránsito por el estrecho de Ormuz"", tras mantener una reunión en Tokio con la primera ministra de Japón, Sanae Takaichi.",neutral
"El euro recupera en su subida los 1,16 dólaresLas caídas del petróleo activan la corrección en el dólar.",positivo
"El euro amplía otro 0,43% su rebote, hasta alcanzar los 1,1602 dólares, frente a los 1,145 dólares con los que inició la sesión de ayer.",positivo
"Repsol registra la única caída de todo el Ibex 35El Ibex resiste con subidas próximas al 3%, gracias a los avances que registran 34 de sus 35 integrantes.",negativo
"El interés exigido a la deuda europea baja del 3%La rentabilidad exigida al bund alemán, la deuda europea de referencia, se repliega hasta el 2,96%, por debajo de la barrera del 3%, en una jornada marcada por los descensos del petróleo y de las presiones inflacionistas.",positivo
"El oro acelera su rebote por encima de 4.700 dólares la onzaLa tregua del petróleo, del dóalr y de los intereses de la deuda acelera la remontada del oro.",positivo
