texto,etiqueta
"El parlante es sencillo, sirve para el uso diario.",neutral
"No vale lo que cuesta, el reloj es sobrevalorado y de mala calidad.",negativo
"Muy contento con la compra, la mochila resultó rápido.",positivo
"Pésima experiencia, la silla es lento y el soporte no responde.",negativo
"Muy contento con la compra, la laptop resultó resistente.",positivo
"La silla es común, sirve para el uso diario.",neutral
"La verdad la tablet superó mis expectativas, es elegante.",positivo
La silla llegó en perfecto estado y es elegante.,positivo
El parlante llegó complicado y con fallas desde el primer día.,negativo
"La verdad la mochila superó mis expectativas, es recomendable.",positivo
"Volvería a comprarlo, la cámara es estupendo y de buena calidad.",positivo
"En general el teclado es común, cumple su función.",neutral
"La licuadora está bien, nada especial pero sencillo.",neutral
"Muy decepcionado, la cámara resultó incómodo y se dañó pronto.",negativo
"El monitor es básico, hay opciones mejores y peores.",neutral
La mochila llegó deficiente y con fallas desde el primer día.,negativo
"Una estrella, la licuadora es terrible y dejó de funcionar rápido.",negativo
"Una estrella, el parlante es defectuoso y dejó de funcionar rápido.",negativo
"La cámara es correcto, sirve para el uso diario.",neutral
"La cámara es básico, hay opciones mejores y peores.",neutral
"La silla es aceptable, sirve para el uso diario.",neutral
"Me encantó el ventilador, funciona elegante y llegó rápido.",positivo
"Lo uso todos los días, la silla es excelente y no falla.",positivo
"La impresora está bien, nada especial pero sencillo.",neutral
"Muy decepcionado, el celular resultó frágil y se dañó pronto.",negativo
"En general la aspiradora es sencillo, cumple su función.",neutral
"Cinco estrellas, el teclado es impecable y muy fácil de usar.",positivo
"En general la cafetera es promedio, cumple su función.",neutral
"Muy contento con la compra, el reloj resultó maravilloso.",positivo
"El reloj es barato, pedí la devolución de inmediato.",negativo
"Compré la silla y es funcional, sin sorpresas.",neutral
"La mochila es resistente, lo recomiendo totalmente.",positivo
"Lo uso todos los días, el parlante es increíble y no falla.",positivo
"El cargador es promedio, cumple con lo básico.",neutral
"En general la impresora es común, cumple su función.",neutral
"No vale lo que cuesta, la tablet es ruidoso y de mala calidad.",negativo
"La impresora funciona, es estándar y hace lo que promete.",neutral
"Muy decepcionado, la aspiradora resultó complicado y se dañó pronto.",negativo
"La aspiradora es decepcionante, no lo recomiendo para nada.",negativo
"Lo uso todos los días, la impresora es duradero y no falla.",positivo
"No compren la licuadora, es flojo y una pérdida de dinero.",negativo
"Muy decepcionado, el mouse resultó deficiente y se dañó pronto.",negativo
"Cinco estrellas, los audífonos es recomendable y muy fácil de usar.",positivo
"Volvería a comprarlo, la impresora es resistente y de buena calidad.",positivo
"Los audífonos es sencillo, cumple con lo básico.",neutral
"El monitor resultó funcional, ni me encanta ni me molesta.",neutral
"La aspiradora es básico, hay opciones mejores y peores.",neutral
"Estoy feliz con el teclado, es recomendable y vale cada centavo.",positivo
"Esperaba más, las zapatillas es terrible y no cumple lo prometido.",negativo
"Muy decepcionado, el celular resultó lento y se dañó pronto.",negativo
"Estoy feliz con la cafetera, es fantástico y vale cada centavo.",positivo
"No vale lo que cuesta, el parlante es lento y de mala calidad.",negativo
"La verdad el celular superó mis expectativas, es fantástico.",positivo
"El mouse es sencillo, cumple con lo básico.",neutral
"Me encantó la batería, funciona impecable y llegó rápido.",positivo
"Producto básico, esperaba algo más pero está correcto.",neutral
"No compren el teclado, es complicado y una pérdida de dinero.",negativo
"Cinco estrellas, la cámara es perfecto y muy fácil de usar.",positivo
"Compré la aspiradora y es regular, sin sorpresas.",neutral
"La batería es funcional, sirve para el uso diario.",neutral
La aspiradora llegó frágil y con fallas desde el primer día.,negativo
"Estoy feliz con la impresora, es perfecto y vale cada centavo.",positivo
La laptop llegó incómodo y con fallas desde el primer día.,negativo
"En general la aspiradora es básico, cumple su función.",neutral
"No compren la cafetera, es flojo y una pérdida de dinero.",negativo
"El mouse está bien, nada especial pero promedio.",neutral
"Excelente relación calidad-precio, la impresora es elegante.",positivo
"Una estrella, el celular es terrible y dejó de funcionar rápido.",negativo
"La impresora es regular, cumple con lo básico.",neutral
"La cámara está bien, nada especial pero correcto.",neutral
"Excelente relación calidad-precio, la laptop es increíble.",positivo
"Pésima experiencia, la silla es complicado y el soporte no responde.",negativo
"El teclado es terrible, no lo recomiendo para nada.",negativo
"Esperaba más, el ventilador es malísimo y no cumple lo prometido.",negativo
